Provinsi,Indeks Literasi Digital (skala 1–5),Persentase Akses Internet (%),APS 7–12 Tahun (%),APS 13–15 Tahun (%),APS 16–18 Tahun (%),APS Rata-rata (%),lit_z (z-score),net_z (z-score),Indeks Kesiapan Digital Pendidikan (rata-rata z-score),Kategori_Litdig,Kategori_Internet,Status_Kinerja,Kategori_APS
Aceh,3.53,79.85,99.81,98.79,87.82,95.47333333333334,0.2670413585767716,-0.5067858738169772,-0.11987225762010278,Baik,Rendah,Berkembang,Tinggi
Bali,3.45,91.21,99.62,98.16,85.16,94.31333333333333,-0.5311481967296164,0.6362271241571478,0.052539463713765666,Rendah,Tinggi,Maju,Tinggi
Banten,3.48,91.11,99.24,97.03,72.1,89.45666666666666,-0.2318271134897215,0.6261653900200522,0.19716913826516536,Sedang,Tinggi,Maju,Rendah
Bengkulu,3.55,86.43,98.69,97.87,84.23,93.59666666666668,0.46658874740336975,0.15527623240395214,0.31093248990366096,Baik,Sedang,Maju,Tinggi
Di Yogyakarta,3.64,89.03,99.67,99.19,93.13,97.33,1.3645519971230635,0.416881319968452,0.8907166585457578,Tinggi,Tinggi,Maju,Tinggi
Dki Jakarta,3.59,95.39,99.44,97.95,72.1,89.83,0.865683525056566,1.0568076110877684,0.9612455680721672,Baik,Tinggi,Maju,Rendah
Gorontalo,3.35,85.52,99.36,95.09,77.2,90.55,-1.5288851408626072,0.06371445175637588,-0.7325853445531156,Rendah,Sedang,Berkembang,Sedang
Jambi,3.54,87.34,99.43,94.8,80.99,91.74000000000001,0.3668150529900729,0.24683801305152694,0.30682653302079993,Baik,Baik,Maju,Baik
Jawa Barat,3.6,87.57,99.41,96.01,70.82,88.74666666666667,0.9654572194698673,0.2699800015668471,0.6177186105183572,Tinggi,Baik,Maju,Rendah
Jawa Tengah,3.61,88.24,99.54,97.57,74.35,90.48666666666668,1.0652309138831642,0.3373936202853916,0.7013122670842779,Tinggi,Baik,Maju,Sedang
Jawa Timur,3.58,85.11,99.09,97.96,76.97,91.33999999999999,0.7659098306432691,0.022461341794281924,0.39418558621877553,Baik,Sedang,Maju,Sedang
Kalimantan Barat,3.64,84.74,98.64,95.02,73.87,89.17666666666666,1.3645519971230635,-0.014767074512974366,0.6748924613050445,Tinggi,Sedang,Maju,Rendah
Kalimantan Selatan,3.48,87.21,99.12,93.53,71.4,88.01666666666667,-0.2318271134897215,0.23375775867330095,0.0009653225917897329,Sedang,Baik,Maju,Rendah
Kalimantan Tengah,3.6,84.76,99.41,95.68,74.29,89.79333333333334,0.9654572194698673,-0.012754727685554102,0.4763512458921566,Tinggi,Sedang,Maju,Rendah
Kalimantan Timur,3.62,93.06,99.43,98.65,83.54,93.87333333333333,1.1650046082964653,0.8223692056934278,0.9936869069949466,Tinggi,Tinggi,Maju,Tinggi
Kalimantan Utara,3.21,94.27,99.29,97.23,78.61,91.71,-2.925716862648794,0.9441161887522909,-0.9908003369482516,Rendah,Tinggi,Berkembang,Sedang
Kepulauan Bangka Belitung,3.52,89.81,98.97,93.01,73.72,88.56666666666668,0.16726766416347477,0.49536284623780225,0.33131525520063854,Sedang,Tinggi,Maju,Rendah
Kepulauan Riau,3.59,95.26,99.26,99.04,85.86,94.72000000000001,0.865683525056566,1.0437273567095438,0.9547054408830549,Baik,Tinggi,Maju,Tinggi
Lampung,3.49,87.9,99.77,96.36,78.68,91.60333333333334,-0.1320534190764202,0.3031837242192657,0.08556515257142275,Sedang,Baik,Maju,Sedang
Maluku,3.54,82.36,99.52,98.77,80.42,92.90333333333332,0.3668150529900729,-0.2542363469758628,0.05628935300710505,Baik,Rendah,Maju,Baik
Maluku Utara,3.49,77.8,99.2,98.04,83.7,93.64666666666666,-0.1320534190764202,-0.7130514236274484,-0.4225524213519343,Sedang,Rendah,Berkembang,Tinggi
Nusa Tenggara Barat,3.44,79.77,99.32,98.42,83.16,93.63333333333333,-0.6309218911429177,-0.5148352611266539,-0.5728785761347859,Rendah,Rendah,Berkembang,Tinggi
