id,kode_provinsi,nama_provinsi,indeks_literasi_digital,satuan,tahun
69,11,ACEH,3.53,POIN,2022
70,12,SUMATERA UTARA,3.46,POIN,2022
71,13,SUMATERA BARAT,3.53,POIN,2022
72,14,RIAU,3.33,POIN,2022
73,15,JAMBI,3.54,POIN,2022
74,16,SUMATERA SELATAN,3.46,POIN,2022
75,17,BENGKULU,3.55,POIN,2022
76,18,LAMPUNG,3.49,POIN,2022
77,19,KEPULAUAN BANGKA BELITUNG,3.52,POIN,2022
78,21,KEPULAUAN RIAU,3.59,POIN,2022
79,31,DKI JAKARTA,3.59,POIN,2022
80,32,JAWA BARAT,3.6,POIN,2022
81,33,JAWA TENGAH,3.61,POIN,2022
82,34,DI YOGYAKARTA,3.64,POIN,2022
83,35,JAWA TIMUR,3.58,POIN,2022
84,36,BANTEN,3.48,POIN,2022
85,51,BALI,3.45,POIN,2022
86,52,NUSA TENGGARA BARAT,3.44,POIN,2022
87,53,NUSA TENGGARA TIMUR,3.39,POIN,2022
88,61,KALIMANTAN BARAT,3.64,POIN,2022
89,62,KALIMANTAN TENGAH,3.6,POIN,2022
90,63,KALIMANTAN SELATAN,3.48,POIN,2022
91,64,KALIMANTAN TIMUR,3.62,POIN,2022
92,65,KALIMANTAN UTARA,3.21,POIN,2022
93,71,SULAWESI UTARA,3.4,POIN,2022
94,72,SULAWESI TENGAH,3.44,POIN,2022
95,73,SULAWESI SELATAN,3.5,POIN,2022
96,74,SULAWESI TENGGARA,3.57,POIN,2022
97,75,GORONTALO,3.35,POIN,2022
98,76,SULAWESI BARAT,3.32,POIN,2022
99,81,MALUKU,3.54,POIN,2022
100,82,MALUKU UTARA,3.49,POIN,2022
101,91,PAPUA BARAT,3.55,POIN,2022
102,94,PAPUA,3.62,POIN,2022
