Provinsi,Indeks_Literasi_Digital,Persentase_Akses_Internet,APS 7-12 Tahun,APS 13-15 Tahun,APS 16-18 Tahun,APS_Rata2
Aceh,3.53,79.85,99.81,98.79,87.82,95.47333333333334
Bali,3.45,91.21,99.62,98.16,85.16,94.31333333333333
Banten,3.48,91.11,99.24,97.03,72.1,89.45666666666666
Bengkulu,3.55,86.43,98.69,97.87,84.23,93.59666666666668
Di Yogyakarta,3.64,89.03,99.67,99.19,93.13,97.33
Dki Jakarta,3.59,95.39,99.44,97.95,72.1,89.83
Gorontalo,3.35,85.52,99.36,95.09,77.2,90.55
Jambi,3.54,87.34,99.43,94.8,80.99,91.74000000000001
Jawa Barat,3.6,87.57,99.41,96.01,70.82,88.74666666666667
Jawa Tengah,3.61,88.24,99.54,97.57,74.35,90.48666666666668
Jawa Timur,3.58,85.11,99.09,97.96,76.97,91.33999999999999
Kalimantan Barat,3.64,84.74,98.64,95.02,73.87,89.17666666666666
Kalimantan Selatan,3.48,87.21,99.12,93.53,71.4,88.01666666666667
Kalimantan Tengah,3.6,84.76,99.41,95.68,74.29,89.79333333333334
Kalimantan Timur,3.62,93.06,99.43,98.65,83.54,93.87333333333333
Kalimantan Utara,3.21,94.27,99.29,97.23,78.61,91.71
Kepulauan Bangka Belitung,3.52,89.81,98.97,93.01,73.72,88.56666666666668
Kepulauan Riau,3.59,95.26,99.26,99.04,85.86,94.72000000000001
Lampung,3.49,87.9,99.77,96.36,78.68,91.60333333333334
Maluku,3.54,82.36,99.52,98.77,80.42,92.90333333333332
Maluku Utara,3.49,77.8,99.2,98.04,83.7,93.64666666666666
Nusa Tenggara Barat,3.44,79.77,99.32,98.42,83.16,93.63333333333333
Nusa Tenggara Timur,3.39,74.23,98.95,97.4,81.33,92.56
Papua,3.62,35.14,95.25,96.21,86.94,92.8
Papua Barat,3.55,78.32,98.91,97.69,83.75,93.45
Papua Barat Daya,,,,,,
Papua Pegunungan,,,,,,
Papua Selatan,,,,,,
Papua Tengah,,,,,,
Riau,3.33,91.01,99.64,96.68,82.6,92.97333333333331
Sulawesi Barat,3.32,82.09,98.07,91.23,73.79,87.69666666666667
Sulawesi Selatan,3.5,88.33,99.48,93.71,73.35,88.84666666666665
Sulawesi Tengah,3.44,82.23,97.77,94.64,83.37,91.92666666666666
Sulawesi Tenggara,3.57,87.6,98.65,94.35,79.17,90.72333333333334
Sulawesi Utara,3.4,83.54,99.35,95.83,75.24,90.14
Sumatera Barat,3.53,87.52,99.34,96.76,88.84,94.98000000000002
Sumatera Selatan,3.46,85.79,99.48,97.01,76.54,91.01
Sumatera Utara,3.46,86.61,99.69,97.19,79.26,92.04666666666667
